George Washington, 1732-02-22, 1799-12-14, https://en.wikipedia.org/wiki/George_Washington
Abraham Lincoln, 1809-02-12, 1865-04-15, https://en.wikipedia.org/wiki/Abraham_Lincoln
Wolfgang Amadeus Mozart, 1756-01-27, 1791-12-05, https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart
Jimi Hendrix, 1942-11-27, 1970-09-18, https://en.wikipedia.org/wiki/Jimi_Hendrix
Anne Frank, 1929-06-12, 1945-03-01, https://en.wikipedia.org/wiki/Anne_Frank
Kurt Cobain, 1967-02-20, 1994-04-05, https://en.wikipedia.org/wiki/Kurt_Cobain
Len Bias, 1963-11-18, 1986-06-19, https://en.wikipedia.org/wiki/Len_Bias
Martin Luther King Jr, 1957-01-10, 1968-04-04, https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Elvis Presley, 1935-01-08, 1977-08-16, https://en.wikipedia.org/wiki/Elvis_Presley
Jerry Garcia, 1942-08-01, 1995-08-09, https://en.wikipedia.org/wiki/Jerry_Garcia
John Lennon, 1940-10-09, 1980-12-08, https://en.wikipedia.org/wiki/John_Lennon
John F. Kennedy, 1961-01-20, 1963-11-22, https://en.wikipedia.org/wiki/John_F._Kennedy
Robert Craig 'Evel' Knievel, 1938-10-17, 2007-11-30, https://en.wikipedia.org/wiki/Evel_Knievel
Sharon Tate, 1943-01-24, 1969-08-09, https://en.wikipedia.org/wiki/Sharon_Tate
James Dean, 1931-02-08, 1955-09-30, https://en.wikipedia.org/wiki/James_Dean
Al Capone, 1899-01-17, 1947-01-25, https://en.wikipedia.org/wiki/Al_Capone
River Phoenix, 1970-08-23, 1993-10-31, https://en.wikipedia.org/wiki/River_Phoenix
Diana Frances Spencer, 1961-07-01, 1997-08-31, https://en.wikipedia.org/wiki/Diana_Princess_of_Wales
Steve Irwin, 1962-02-22, 2006-09-04, https://en.wikipedia.org/wiki/Steve_Irwin
Stevie Ray Vaughan, 1954-10-03, 1990-08-27, https://en.wikipedia.org/wiki/Stevie_Ray_Vaughan
Heath Ledger, 1979-04-04, 2008-01-22, https://en.wikipedia.org/wiki/Heath_Ledger
Hank Williams, 1923-09-17, 1953-01-01, https://en.wikipedia.org/wiki/Hank_Williams
Jim Morrison, 1943-12-08, 1971-07-03, https://en.wikipedia.org/wiki/Jim_Morrison
Otis Redding, 1941-09-09, 1967-12-10, https://en.wikipedia.org/wiki/Otis_Redding
Buddy Holly, 1936-09-07, 1959-02-03, https://en.wikipedia.org/wiki/Buddy_Holly
Paul Walker, 1973-09-12, 2013-11-30, https://en.wikipedia.org/wiki/Paul_Walker
Ritchie Valens, 1941-05-13, 1959-02-03, https://en.wikipedia.org/wiki/Ritchie_Valens
Janis Joplin, 1943-01-19, 1970-10-04, https://en.wikipedia.org/wiki/Janis_Joplin
Andy Gibb, 1958-03-05, 1988-03-10, https://en.wikipedia.org/wiki/Andy_Gibb
Bob Marley, 1945-02-06, 1981-05-11, https://en.wikipedia.org/wiki/Bob_Marley
Jim Croce, 1943-01-10, 1973-09-20, https://en.wikipedia.org/wiki/Jim_Croce
Bruce Lee, 1940-11-27, 1973-07-20, https://en.wikipedia.org/wiki/Bruce_Lee
Robert Johnson, 1911-05-08, 1938-08-16, https://en.wikipedia.org/wiki/Robert_Johnson
John Belushi, 1949-01-24, 0982-03-05, https://en.wikipedia.org/wiki/John_Belushi
Sid Vicious, 1957-05-10, 1979-02-02, https://en.wikipedia.org/wiki/Sid_Vicious
Marilyn Monroe, 1926-06-01, 1962-08-04, https://en.wikipedia.org/wiki/Marilyn_Monroe
George Gershwin, 1898-09-26, 1937-07-11, https://en.wikipedia.org/wiki/George_Gershwin
Felix Mendelssohn, 1809-02-03, 1847-11-04, https://en.wikipedia.org/wiki/Felix_Mendelssohn
Frederic Chopin, 1810-03-01, 1849-10-17, https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin
Franz Schubert, 1797-01-31, 1828-11-19, https://en.wikipedia.org/wiki/Franz_Schubert
Robert Wadlow, 1918-02-22, 1940-07-15, https://en.wikipedia.org/wiki/Robert_Wadlow
Rudolph Valentino, 1895-05-06, 1926-08-23, https://en.wikipedia.org/wiki/Rudolph_Valentino
Tupac Shakur, 1971-06-16, 1996-09-13, https://en.wikipedia.org/wiki/Tupac_Shakur
